meanRT,RT10prctile,Accuracy,Condition,SubjectID,Subjects_session,Unique_Session,N200amplitudes,N200latencies,RemoveN200,minBETAamplitudes,minBETAlatencies,RemoveminBETA,P300amplitudes,P300latencies,RemoveP300,minRPamplitudes,minRPlatencies,RemoveminRP
0.77297,0.60303,0.725,1,146,2,10,-0.10984,0.18066,0,-0.58509,0.4343,0,0.050797,0.36914,0,-0.031546,0.28905,0
0.67677,0.55811,0.65,2,146,2,10,-0.11909,0.17285,0,-0.21246,0.27805,0,0.090388,0.36328,0,-0.082514,0.13183,0
0.6955,0.57129,0.6625,3,146,2,10,-0.13193,0.19336,0,-0.56596,0.58566,0,0.074839,0.36328,0,-0.027195,0.011715,0
0.7701,0.62539,0.63291,4,146,2,10,-0.11073,0.18848,0,0.53396,0.31711,0,0.075067,0.38086,0,-0.035872,0.029293,0
0.81313,0.6377,0.75,5,146,2,10,-0.14673,0.19824,0,-0.14968,0.36105,0,0.067832,0.36426,0,-0.10978,0.22753,0
0.75784,0.61523,0.725,6,146,2,10,-0.12082,0.16992,0,-0.37687,0.59543,1,0.060405,0.33301,0,-0.080616,0.22948,0
0.63398,0.44648,0.43421,1,147,1,11,-0.074476,0.21973,0,-0.34995,0.2048,1,0.047552,0.27539,1,-0.048895,0.29589,0
0.51213,0.39785,0.43243,2,147,1,11,-0.078242,0.23242,0,-0.33791,0.26828,0,0.068815,0.27539,1,-0.043979,0.043941,0
0.47444,0.36074,0.47826,3,147,1,11,-0.092106,0.23047,0,-0.60383,0.58078,0,0.072038,0.27539,1,-0.081255,0.12402,0
0.43242,0.36523,0.48333,4,147,1,11,-0.13771,0.21289,0,0.12161,0.2048,1,0.084223,0.27539,1,-0.046154,0.12206,0
0.44475,0.35957,0.50877,5,147,1,11,-0.11924,0.2168,0,-0.20737,0.33176,0,0.072836,0.27539,1,-0.052843,0.15136,0
0.43731,0.36523,0.43284,6,147,1,11,-0.13127,0.22754,0,0.01479,0.38547,0,0.097308,0.27539,1,-0.078933,0.1455,0
0.4251,0.35898,0.55932,1,147,2,12,-0.088869,0.20605,0,-0.51629,0.2048,1,0.088682,0.39941,0,-0.04765,0.15429,0
0.47056,0.37109,0.49254,2,147,2,12,-0.094262,0.20996,0,-0.18409,0.59543,1,0.05053,0.61621,0,0.007791,0.17187,0
0.4507,0.36494,0.53226,3,147,2,12,-0.096095,0.20801,0,-0.13714,0.27805,0,0.063345,0.45508,0,-0.046603,0.16992,0
0.4433,0.37246,0.59016,4,147,2,12,-0.10772,0.2041,0,0.20794,0.2048,1,0.065329,0.39648,0,-0.058524,0.1621,0
0.49053,0.37598,0.56,5,147,2,12,-0.12527,0.19629,0,-0.039393,0.2048,1,0.10034,0.4209,0,-0.078202,0.19824,0
0.48872,0.375,0.49296,6,147,2,12,-0.11896,0.18652,0,-0.087431,0.42941,0,0.071101,0.57617,0,-0.06085,0.20995,0
0.41417,0.35508,0.42105,1,148,1,13,-0.099703,0.19727,0,-0.1476,0.40988,0,0.12078,0.33301,0,-0.0056806,0.41796,0
0.42943,0.35332,0.57895,2,148,1,13,-0.11539,0.18848,0,-0.1614,0.33176,0,0.086199,0.33887,0,-0.098997,0.15527,0
0.52258,0.36494,0.375,3,148,1,13,-0.13859,0.19531,0,-0.043604,0.2341,0,0.10628,0.34277,0,-0.14901,0.095698,0
0.48041,0.37363,0.57576,4,148,1,13,-0.14553,0.18652,0,0.13644,0.2634,0,0.05851,0.32324,0,-0.090908,0.16308,0
0.50092,0.36494,0.53846,5,148,1,13,-0.096121,0.19531,0,-0.15424,0.35617,0,0.0286,0.45801,0,-0.021398,0.4912,0
0.50502,0.39453,0.61538,6,148,1,13,-0.11445,0.19727,0,-0.10574,0.2341,0,0.062322,0.48926,0,-0.015362,0.29491,0
0.58114,0.3874,0.60345,1,148,2,14,-0.095986,0.19336,0,-0.21167,0.22434,0,0.064441,0.34863,0,-0.04875,0.26855,0
0.69745,0.36367,0.5,2,148,2,14,-0.093018,0.2002,0,-0.32633,0.40988,0,0.028825,0.64746,0,-0.039918,0.21972,0
0.62315,0.38291,0.6087,3,148,2,14,-0.16168,0.19434,0,-0.13145,0.405,0,0.061664,0.41113,0,-0.034325,0.33495,0
0.5176,0.35781,0.55102,4,148,2,14,-0.135,0.19727,0,-0.39404,0.20969,0,0.11293,0.42383,0,-0.073508,0.19824,0
