RT,Accuracy,Condition,SubjectID,Subjects_session,Unique_Session,Noisetimes,Intertrial,Stimtime,Spatial_frequencies,Random_rotations,Speed_cutoff,Given_feedback,N200amplitudes,N200latencies,RemoveN200,RemoveRT,Training,Artifact
NaN,NaN,1,147,2,12,0.525,1.8483,2.3083,2.4,164.65,1,2,NaN,NaN,0,1,0,0
NaN,NaN,1,147,2,12,0.975,1.6071,2.5583,2.4,199.37,1,1,NaN,NaN,1,1,1,0
NaN,NaN,1,147,2,12,0.8,1.8189,2.5917,2.6,182.82,1,1,NaN,NaN,0,1,1,0
0.39746,1,1,147,2,12,0.775,1.9409,2.6083,2.6,109.44,1,2,-18.795,0.25488,0,0,1,0
NaN,NaN,1,147,2,12,0.95,1.8571,2.8417,2.4,58.92,1,2,NaN,NaN,1,0,0,0
0.41602,0,1,147,2,12,0.65,1.5198,2.4167,2.4,43.136,1,1,-48.037,0.21191,0,0,1,0
NaN,NaN,1,147,2,12,0.825,1.8014,2.5917,2.4,136.71,1,1,NaN,NaN,1,0,1,0
0.35645,1,1,147,2,12,0.725,1.5238,2.6917,2.6,358.64,1,2,-33.391,0.15527,0,0,1,0
0.36816,1,1,147,2,12,0.85,1.7448,2.825,2.6,150.21,1,2,-11.558,0.17969,0,0,1,0
0.41895,1,1,147,2,12,0.85,1.586,2.7917,2.6,117.26,1,2,-61.353,0.22852,0,0,1,0
NaN,NaN,1,147,2,12,0.9,1.873,2.5917,2.6,169.76,1,1,NaN,NaN,1,0,1,0
0.36719,1,1,147,2,12,0.575,1.6568,2.4333,2.6,251.6,1,2,-56.736,0.16602,0,0,1,0
NaN,NaN,1,147,2,12,1,1.7003,2.6583,2.4,355.97,1,1,NaN,NaN,0,0,0,0
0.37402,0,1,147,2,12,0.95,1.9812,2.4583,2.6,231.32,1,1,-54.67,0.21387,0,0,1,0
NaN,NaN,1,147,2,12,1,1.88,2.8583,2.4,5.844,1,1,NaN,NaN,1,0,0,0
NaN,NaN,1,147,2,12,0.825,1.623,2.725,2.4,92.164,1,1,NaN,NaN,1,0,1,0
NaN,NaN,1,147,2,12,0.65,1.9603,2.6417,2.6,271.05,1,2,NaN,NaN,0,1,1,0
0.51074,1,1,147,2,12,0.85,1.5106,2.6,2.6,293.85,1,2,-43.577,0.19629,0,0,1,0
NaN,NaN,1,147,2,12,0.925,1.6916,2.4333,2.6,189.79,1,1,NaN,NaN,0,0,0,0
0.50879,0,1,147,2,12,0.925,1.901,2.6167,2.4,67.581,1,1,-34.785,0.22266,0,0,1,0
NaN,NaN,1,147,2,12,0.925,1.9055,2.5833,2.6,319.31,1,2,NaN,NaN,1,0,1,0
NaN,NaN,1,147,2,12,0.675,1.9794,2.575,2.4,80.81,1,2,NaN,NaN,1,0,1,0
0.38184,1,1,147,2,12,0.775,1.96,2.575,2.6,126.2,1,2,-44.314,0.19922,0,0,1,0
NaN,NaN,1,147,2,12,0.55,1.7837,2.2667,2.6,331.11,1,1,NaN,NaN,0,1,0,0
NaN,NaN,1,147,2,12,0.575,1.9345,2.3167,2.6,322.27,1,2,NaN,NaN,0,1,0,0
NaN,NaN,1,147,2,12,0.9,1.9435,2.6083,2.4,223.63,1,2,NaN,NaN,0,0,0,0
0.375,0,1,147,2,12,0.875,1.5586,2.4333,2.6,334.69,1,1,-41.096,0.12891,0,0,1,0
0.40625,1,1,147,2,12,0.6,1.7481,2.425,2.6,144.12,1,2,-38.543,0.25488,0,0,1,0
NaN,NaN,1,147,2,12,1,1.5759,2.5417,2.6,223.44,1,2,NaN,NaN,0,1,1,0
NaN,NaN,1,147,2,12,0.825,1.7633,2.4083,2.6,51.335,1,2,NaN,NaN,1,0,1,0
0.45508,0,1,147,2,12,0.6,1.7519,2.525,2.6,321.47,1,1,-74.67,0.2168,0,0,1,0
0.40332,1,1,147,2,12,0.85,1.7906,2.725,2.6,168.15,1,2,-121.62,0.16992,0,0,1,0
0.4375,0,1,147,2,12,0.95,1.9081,2.8417,2.4,2.4962,1,1,-23.185,0.14941,0,0,1,0
NaN,NaN,1,147,2,12,0.875,1.5864,2.525,2.4,159.66,1,1,NaN,NaN,0,1,1,0
NaN,NaN,1,147,2,12,0.775,1.7174,2.4333,2.6,345.95,1,2,NaN,NaN,0,1,1,0
NaN,NaN,1,147,2,12,0.5,1.7976,2.2167,2.6,221.04,1,1,NaN,NaN,0,1,1,0
0.56445,1,1,147,2,12,0.975,1.943,2.8333,2.4,62.372,1,2,-37.572,0.18555,0,0,1,0
0.62402,1,1,147,2,12,0.55,1.8084,2.4167,2.6,224.95,0,0,-36.404,0.2168,0,0,1,0
NaN,NaN,1,147,2,12,0.775,1.8165,2.7583,2.6,82.711,1,2,NaN,NaN,0,0,0,0
0.53711,1,1,147,2,12,0.85,1.6058,2.6667,2.4,226,1,2,-35.3,0.22461,0,0,1,0
0.35547,1,1,147,2,12,0.5,1.8746,2.0167,2.6,215.17,1,2,-23.928,0.18359,0,0,1,0
NaN,NaN,1,147,2,12,0.5,1.89,2.1833,2.6,299.16,1,2,NaN,NaN,0,0,0,0
0.40039,0,1,147,2,12,0.925,1.7943,2.85,2.4,342.89,1,1,-43.009,0.22852,0,0,1,0
0.35156,1,1,147,2,12,0.55,1.9815,2.125,2.6,82.973,1,2,-59.489,0.19531,0,0,1,0
0.38281,0,1,147,2,12,0.7,1.6615,2.5333,2.6,320,1,1,-55.994,0.22656,0,0,1,0
NaN,NaN,1,147,2,12,0.8,1.5036,2.35,2.4,148.15,1,1,NaN,NaN,0,1,0,0
NaN,NaN,1,147,2,12,0.7,1.8495,2.625,2.6,333.21,1,2,NaN,NaN,0,0,0,0
NaN,NaN,1,147,2,12,0.825,1.7889,2.675,2.6,161.9,1,1,NaN,NaN,0,1,0,0
NaN,NaN,1,147,2,12,0.85,1.7639,2.4667,2.4,197.14,1,1,NaN,NaN,0,1,1,0
0.38184,1,1,147,2,12,0.95,1.5473,2.6167,2.4,289.28,1,2,-51.528,0.13086,0,0,1,0
0.45801,0,1,147,2,12,0.55,1.7419,2.375,2.6,166.87,1,1,-52.701,0.25391,0,0,1,0
0.42676,1,1,147,2,12,0.875,1.677,2.6833,2.6,219.66,1,2,-50.333,0.24121,0,0,1,0
NaN,NaN,1,147,2,12,0.75,1.7295,2.3583,2.4,172.33,1,1,NaN,NaN,0,0,0,0
0.44336,0,1,147,2,12,0.95,1.8233,2.9333,2.6,73.998,1,1,-47.149,0.21875,0,0,1,0
NaN,NaN,1,147,2,12,0.875,1.603,2.3917,2.6,322.64,1,2,NaN,NaN,1,1,1,0
NaN,NaN,1,147,2,12,0.8,1.7344,2.4417,2.6,290.88,1,1,NaN,NaN,0,0,0,0
0.36133,0,1,147,2,12,0.9,1.9653,2.725,2.6,248.26,1,1,-37.986,0.20605,0,0,1,0
NaN,NaN,1,147,2,12,0.675,1.7755,2.425,2.6,236.75,1,2,NaN,NaN,0,0,0,0
NaN,NaN,1,147,2,12,0.825,1.9311,2.4417,2.4,200.43,1,1,NaN,NaN,1,1,1,0
0.36426,1,1,147,2,12,0.725,1.6261,2.4833,2.4,314.87,1,2,-39.44,0.1709,0,0,1,0
0.50391,1,1,147,2,12,0.9,1.8374,2.5917,2.6,144.76,1,2,-34.844,0.16699,0,0,1,0
0.37988,0,1,147,2,12,0.675,1.6259,2.45,2.4,263.55,1,1,-20.276,0.17578,0,0,1,0
NaN,NaN,1,147,2,12,0.55,1.6004,2.4833,2.4,209.39,1,1,NaN,NaN,0,0,0,0
NaN,NaN,1,147,2,12,0.875,1.7395,2.8667,2.4,223.43,1,2,NaN,NaN,0,0,0,0
NaN,NaN,1,147,2,12,0.8,1.6219,2.3833,2.4,239.77,1,1,NaN,NaN,0,1,1,0
0.41016,0,1,147,2,12,0.55,1.6167,2.1833,2.4,281.78,1,1,-60.885,0.23633,0,0,1,0
NaN,NaN,1,147,2,12,0.65,1.7826,2.6,2.4,0.030264,1,1,NaN,NaN,0,1,1,0
0.38184,0,1,147,2,12,0.525,1.6665,2.5,2.4,296.64,1,1,-46.562,0.26758,0,0,1,0
0.38281,0,1,147,2,12,0.775,1.8357,2.35,2.4,293.45,1,1,-59.01,0.23438,0,0,1,0
0.44336,0,1,147,2,12,0.575,1.9714,2.125,2.4,51.96,1,1,-43.425,0.23926,0,0,1,0
NaN,NaN,1,147,2,12,0.85,1.8461,2.6833,2.4,104.93,1,2,NaN,NaN,1,0,0,0
0.56934,1,6,148,1,13,0.975,1.7497,2.875,2.4,18.144,1,2,-52.654,0.21875,0,0,1,0
0.63867,1,6,148,1,13,0.6,1.6181,2.425,2.6,212.37,1,2,-43.269,0.24902,0,0,1,0
NaN,NaN,6,148,1,13,0.5,1.7182,2.15,2.6,98.251,1,1,NaN,NaN,1,0,1,0
0.5,1,6,148,1,13,0.95,1.6504,2.8833,2.4,257.18,1,2,-28.221,0.2207,0,0,1,0
0.45117,1,6,148,1,13,0.65,1.9319,2.1917,2.6,350.83,1,2,-55.763,0.18164,0,0,1,0
NaN,NaN,6,148,1,13,0.925,1.9138,2.8417,2.4,321.37,1,2,NaN,NaN,0,1,1,0
0.56543,0,6,148,1,13,0.8,1.898,2.6,2.4,135.09,1,1,-7.7119,0.17578,0,0,1,0
0.56055,1,6,148,1,13,0.675,1.9324,2.6417,2.6,340.62,1,2,-30.149,0.19434,0,0,1,0
NaN,NaN,6,148,1,13,0.675,1.6325,2.3083,2.6,125.33,1,1,NaN,NaN,1,1,1,0
0.50293,1,6,148,1,13,0.9,1.5429,2.8417,2.4,174.34,1,2,-26.048,0.25293,0,0,1,0
0.54785,0,6,148,1,13,0.7,1.7947,2.5583,2.4,58.613,1,1,-27.494,0.17773,0,0,1,0
NaN,NaN,6,148,1,13,0.6,1.557,2.5,2.4,71.412,1,2,NaN,NaN,0,0,0,0
NaN,NaN,6,148,1,13,0.875,1.9881,2.8,2.6,195.07,1,2,NaN,NaN,1,0,1,0
0.39648,0,6,148,1,13,0.825,1.7026,2.5583,2.6,240.38,1,1,-31.489,0.17676,0,0,1,0
0.50488,0,6,148,1,13,0.65,1.8177,2.4833,2.6,9.5084,1,1,-51.343,0.23145,0,0,1,0
0.56543,0,6,148,1,13,0.55,1.9388,2.425,2.4,34.239,1,1,-48.523,0.20605,0,0,1,0
NaN,NaN,6,148,1,13,0.725,1.5779,2.2667,2.6,293.99,1,2,NaN,NaN,0,0,0,0
NaN,NaN,6,148,1,13,0.6,1.8497,2.2917,2.6,143.56,1,2,NaN,NaN,0,0,0,0
0.39453,0,6,148,1,13,0.95,1.6056,2.5833,2.6,54.183,1,1,-6.4562,0.19824,0,0,1,0
NaN,NaN,6,148,1,13,0.675,1.9287,2.5417,2.6,228.25,1,1,NaN,NaN,0,0,0,0
0.50781,0,6,148,1,13,0.925,1.5436,2.8833,2.4,136.48,1,1,-58.401,0.22363,0,0,1,0
NaN,NaN,6,148,1,13,0.85,1.5393,2.575,2.6,174.01,1,2,NaN,NaN,0,0,0,0
0.47852,0,6,148,1,13,0.6,1.8153,2.225,2.6,306.68,1,1,-35.688,0.1748,0,0,1,0
NaN,NaN,6,148,1,13,0.875,1.6114,2.7667,2.6,266.05,1,2,NaN,NaN,1,0,0,0
NaN,NaN,6,148,1,13,0.8,1.8148,2.4333,2.6,191.66,1,1,NaN,NaN,1,1,1,0
0.60742,0,6,148,1,13,0.9,1.5811,2.7917,2.6,67.988,1,1,-56.206,0.2207,0,0,1,0
0.99609,0,6,148,1,13,0.625,1.8783,2.4333,2.4,212.47,1,1,-8.584,0.21094,0,0,1,0
0.58984,1,6,148,1,13,0.85,1.7826,2.8,2.4,234.39,1,2,-46.012,0.18945,0,0,1,0
NaN,NaN,6,148,1,13,0.7,1.7264,2.4833,2.6,279.32,1,2,NaN,NaN,0,0,0,0
0.43945,1,6,148,1,13,0.725,1.9996,2.5667,2.6,121.38,1,2,-36.406,0.18164,0,0,1,0
NaN,NaN,6,148,1,13,0.775,1.9021,2.525,2.4,102.37,1,2,NaN,NaN,1,0,0,0
0.45703,0,6,148,1,13,0.85,1.5977,2.75,2.4,290.01,1,1,-51.505,0.18164,0,0,1,0
0.50684,0,6,148,1,13,0.925,1.7158,2.7167,2.4,107.24,1,1,-33.437,0.21875,0,0,1,0
NaN,NaN,6,148,1,13,0.5,1.7293,2.1083,2.4,287.86,1,2,NaN,NaN,0,0,0,0
NaN,NaN,6,148,1,13,0.9,1.7998,2.8583,2.6,172.31,1,2,NaN,NaN,0,0,0,0
0.36523,1,6,148,1,13,0.925,1.6847,2.5583,2.4,7.2323,1,2,-35.949,0.1709,0,0,1,0
0.4541,1,6,148,1,13,0.7,1.5552,2.2583,2.6,181,1,2,-48.605,0.18652,0,0,1,0
NaN,NaN,6,148,1,13,0.95,1.5723,2.6417,2.4,33.55,1,1,NaN,NaN,0,1,1,0
0.55371,0,6,148,1,13,1,1.6241,2.85,2.4,85.838,1,1,-33.15,0.20703,0,0,1,0
NaN,NaN,6,148,1,13,0.85,1.9838,2.3583,2.4,54.421,1,2,NaN,NaN,0,1,1,0
NaN,NaN,6,148,1,13,0.7,1.9174,2.3833,2.6,235.79,1,2,NaN,NaN,0,1,1,0
0.42285,1,6,148,1,13,0.925,1.6314,2.4333,2.6,257.23,1,2,-11.297,0.19629,0,0,1,0
0.44922,1,6,148,1,13,1,1.5599,2.8333,2.4,205.5,1,2,-67.542,0.21582,0,0,1,0
0.42578,1,6,148,1,13,0.55,1.5028,2.3167,2.4,250.29,1,2,-57.185,0.18359,0,0,1,0
0.48633,0,6,148,1,13,0.55,1.812,2.125,2.4,16.104,1,1,-31.856,0.18555,0,0,1,0
NaN,NaN,6,148,1,13,0.975,1.6861,2.625,2.6,204.6,1,1,NaN,NaN,0,1,1,0
0.5332,1,6,148,1,13,0.575,1.8765,2.2833,2.4,72.866,1,2,-25.01,0.17188,0,0,1,0
0.35449,0,6,148,1,13,0.55,1.5816,2.1667,2.4,256.13,1,1,-29.293,0.18555,0,0,1,0
NaN,NaN,6,148,1,13,0.5,1.5767,2.4417,2.4,187.29,1,1,NaN,NaN,1,0,1,0
NaN,NaN,6,148,1,13,0.7,1.828,2.3583,2.6,222.84,1,2,NaN,NaN,0,1,0,0
0.74707,1,6,148,1,13,0.9,1.7065,2.6667,2.6,60.18,1,2,-20.467,0.19824,0,0,1,0
0.47656,0,6,148,1,13,0.925,1.7448,2.4583,2.4,336.66,1,1,-35.375,0.20117,0,0,1,0
0.70898,0,6,148,1,13,0.8,1.7252,2.3917,2.4,190.61,1,1,-9.2382,0.18359,0,0,1,0
0.37793,1,6,148,1,13,0.9,1.5983,2.5417,2.4,57.588,1,2,-33.57,0.20312,0,0,1,0
0.5625,1,6,148,1,13,0.6,1.927,2.3167,2.6,212.08,1,2,-62.504,0.23926,0,0,1,0
0.5166,1,6,148,1,13,0.625,1.7043,2.4583,2.6,79.605,1,2,-30.861,0.19922,0,0,1,0
0.49316,1,6,148,1,13,0.85,1.6523,2.425,2.6,354.05,1,2,-65.237,0.19043,0,0,1,0
0.47754,1,6,148,1,13,0.95,1.7306,2.6583,2.4,296.99,1,2,-57.508,0.2168,0,0,1,0
NaN,NaN,6,148,1,13,0.9,1.7951,2.425,2.4,234.43,1,2,NaN,NaN,0,0,0,0
NaN,NaN,6,148,1,13,0.9,1.7417,2.4083,2.4,193.43,1,1,NaN,NaN,1,0,0,0
NaN,NaN,6,148,1,13,0.975,1.8023,2.6417,2.4,29.172,1,1,NaN,NaN,0,1,0,0
NaN,NaN,6,148,1,13,0.8,1.6179,2.55,2.6,196.43,1,2,NaN,NaN,0,0,0,0
NaN,NaN,6,148,1,13,0.6,1.5745,2.4333,2.4,190.16,1,2,NaN,NaN,0,0,0,0
NaN,NaN,6,148,1,13,0.65,1.8206,2.5083,2.4,241.93,1,1,NaN,NaN,0,1,1,0
0.84668,0,6,148,1,13,0.7,1.6088,2.5917,2.4,306.33,1,1,-23.082,0.21387,0,0,1,0
0.42188,1,6,148,1,13,0.925,1.8047,2.8333,2.4,101.65,1,2,-24.366,0.21484,0,0,1,0
0.43848,1,6,148,1,13,0.55,1.6525,2.3,2.6,100.36,1,2,-108.92,0.23633,0,0,1,0
NaN,NaN,6,148,1,13,0.8,1.8332,2.525,2.6,299.97,1,1,NaN,NaN,0,1,1,0
NaN,NaN,6,148,1,13,0.5,1.709,2.3917,2.6,38.997,1,2,NaN,NaN,0,1,1,0
0.47656,1,6,148,1,13,0.925,1.7425,2.6833,2.6,174.43,1,2,-55.475,0.19141,0,0,1,0
0.49316,1,6,148,1,13,0.825,1.7561,2.7417,2.6,5.0561,1,2,-28.336,0.19238,0,0,1,0
NaN,NaN,6,148,1,13,0.8,1.6364,2.75,2.4,35.062,1,2,NaN,NaN,0,1,1,0
NaN,NaN,6,148,1,13,0.575,1.7734,2.4,2.6,36.103,1,1,NaN,NaN,0,1,1,0
0.39746,0,6,148,1,13,0.5,1.7763,2.4833,2.6,221.8,1,1,-14.143,0.2334,0,0,1,0
NaN,NaN,6,148,1,13,0.625,1.5999,2.575,2.4,163.97,1,2,NaN,NaN,0,1,1,0
0.41992,1,6,148,1,13,0.7,1.906,2.225,2.6,195.6,1,2,-39.616,0.2041,0,0,1,0
0.40332,0,6,148,1,13,0.925,1.777,2.525,2.4,44.296,1,1,-12.289,0.21973,0,0,1,0
0.47754,0,6,148,1,13,0.9,1.8557,2.8917,2.6,317.38,1,1,-13.627,0.19824,0,0,1,0
NaN,NaN,6,148,1,13,0.5,1.5449,2.1167,2.4,222.7,1,2,NaN,NaN,0,0,0,0
0.3623,1,6,148,1,13,0.975,1.7493,2.775,2.6,223.24,1,2,-38.487,0.18359,0,0,1,0
0.50195,0,5,148,1,13,0.65,1.8405,2.225,2.6,67.937,1,1,-5.6178,0.25,0,0,1,0
NaN,NaN,5,148,1,13,0.525,1.9005,2.1667,2.6,40.232,1,1,NaN,NaN,0,0,0,0
0.3623,1,5,148,1,13,0.5,1.6351,2.325,2.4,206.47,1,2,-30.691,0.18457,0,0,1,0
NaN,NaN,5,148,1,13,0.85,1.7563,2.4833,2.6,79.913,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,148,1,13,0.575,1.6367,2.375,2.4,195.39,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,148,1,13,0.95,1.9842,2.775,2.4,211.61,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,148,1,13,0.575,1.9561,2.4167,2.4,288.98,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,148,1,13,0.875,1.8966,2.8167,2.6,278.79,1,1,NaN,NaN,0,1,1,0
0.50879,1,5,148,1,13,0.875,1.8183,2.725,2.6,299.26,1,2,-47.449,0.15918,0,0,1,0
0.49121,0,5,148,1,13,0.775,1.5917,2.6333,2.4,345.87,1,1,-38.295,0.14062,0,0,1,0
0.49316,0,5,148,1,13,1,1.9005,2.775,2.4,195.62,1,1,0.061966,0.16309,0,0,1,0
0.45605,0,5,148,1,13,0.975,1.6543,2.8083,2.4,251.81,1,1,-46.895,0.21289,0,0,1,0
NaN,NaN,5,148,1,13,0.725,1.7611,2.3833,2.4,37.909,1,1,NaN,NaN,0,0,0,0
NaN,NaN,5,148,1,13,0.8,1.8418,2.7167,2.4,116.03,1,1,NaN,NaN,0,1,1,0
0.51074,0,5,148,1,13,0.875,1.6209,2.7167,2.4,1.5863,1,1,-37.191,0.18164,0,0,1,0
NaN,NaN,5,148,1,13,0.8,1.9258,2.325,2.4,229.15,1,2,NaN,NaN,0,0,0,0
NaN,NaN,5,148,1,13,0.85,1.9149,2.4167,2.4,311.81,1,2,NaN,NaN,0,0,0,0
NaN,NaN,5,148,1,13,0.875,1.5806,2.575,2.4,352.8,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,148,1,13,0.85,1.8483,2.55,2.4,196.66,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,148,1,13,0.575,1.9616,2.3333,2.4,268.2,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,148,1,13,0.775,1.9317,2.7667,2.4,148.9,1,2,NaN,NaN,0,1,0,0
NaN,NaN,5,148,1,13,0.9,1.6547,2.525,2.4,120.15,1,2,NaN,NaN,0,1,1,0
0.45508,1,5,148,1,13,0.75,1.7779,2.75,2.6,199.42,1,2,-31.436,0.16504,0,0,1,0
0.55762,0,5,148,1,13,0.55,1.9625,2.4333,2.4,205.57,1,1,-21.296,0.1875,0,0,1,0
0.45605,0,5,148,1,13,0.575,1.7772,2.45,2.6,163.07,1,1,-17.407,0.26855,0,0,1,0
NaN,NaN,5,148,1,13,0.575,1.7129,2.2833,2.6,350.5,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,148,1,13,0.575,1.5706,2.1417,2.6,188.45,1,2,NaN,NaN,1,1,1,0
0.52832,1,5,148,1,13,0.8,1.9198,2.525,2.4,247.53,1,2,-97.288,0.22363,0,0,1,0
NaN,NaN,5,148,1,13,0.525,1.7586,2.0833,2.4,134.77,1,2,NaN,NaN,0,1,1,0
0.56055,1,5,148,1,13,0.65,1.9416,2.4583,2.6,321.15,1,2,-37.564,0.23047,0,0,1,0
0.43848,0,5,148,1,13,0.625,1.8525,2.4667,2.4,328.17,1,1,-14.237,0.16113,0,0,1,0
NaN,NaN,5,148,1,13,1,1.9962,2.875,2.6,264.57,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,148,1,13,0.925,1.9986,2.9,2.4,224.22,1,2,NaN,NaN,1,0,1,0
0.43945,1,5,148,1,13,0.7,1.6409,2.6917,2.6,109.9,1,2,-81.46,0.2002,0,0,1,0
NaN,NaN,5,148,1,13,0.95,1.7466,2.4917,2.6,152.28,1,2,NaN,NaN,0,0,0,0
NaN,NaN,5,148,1,13,0.65,1.5391,2.6083,2.6,134.69,1,2,NaN,NaN,0,0,0,0
0.38672,0,5,148,1,13,0.775,1.9228,2.6583,2.4,305.54,1,1,-26.527,0.15527,0,0,1,0
0.36523,1,5,148,1,13,0.975,1.8539,2.8167,2.4,128.43,1,2,-30.64,0.24707,0,0,1,0
NaN,NaN,5,148,1,13,0.5,1.8624,2.1417,2.6,162.46,1,2,NaN,NaN,0,0,0,0
NaN,NaN,5,148,1,13,0.725,1.7019,2.2333,2.6,248.94,1,2,NaN,NaN,0,0,0,0
NaN,NaN,5,148,1,13,0.75,1.8964,2.3167,2.4,10.869,1,1,NaN,NaN,0,0,0,0
0.3623,0,5,148,1,13,1,1.7387,2.8833,2.4,281.2,1,1,-82.51,0.2627,0,0,1,0
NaN,NaN,5,148,1,13,0.575,1.9574,2.525,2.6,334.78,1,1,NaN,NaN,0,1,1,0
0.41602,1,5,148,1,13,0.85,1.5524,2.4,2.6,189.43,1,2,-74.386,0.22852,0,0,1,0
NaN,NaN,5,148,1,13,0.5,1.555,2.3833,2.6,268.57,1,2,NaN,NaN,1,0,0,0
NaN,NaN,5,148,1,13,0.675,1.7694,2.5833,2.6,201.99,1,2,NaN,NaN,0,1,1,0
NaN,NaN,5,148,1,13,0.8,1.6492,2.4083,2.6,275.5,1,2,NaN,NaN,0,1,0,0
NaN,NaN,5,148,1,13,0.875,1.7681,2.5583,2.4,221.59,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,148,1,13,0.7,1.6504,2.3833,2.6,152.59,1,1,NaN,NaN,0,0,0,0
NaN,NaN,5,148,1,13,0.55,1.9349,2.4167,2.6,105.3,1,1,NaN,NaN,0,0,0,0
0.45703,1,5,148,1,13,0.925,1.6112,2.5417,2.6,34.697,1,2,-45.878,0.20996,0,0,1,0
0.65234,0,5,148,1,13,0.5,1.6811,2.3417,2.6,148.43,1,1,-53.083,0.22754,0,0,1,0
NaN,NaN,5,148,1,13,0.825,1.5886,2.3333,2.6,152.52,1,2,NaN,NaN,0,1,0,0
NaN,NaN,5,148,1,13,0.55,1.536,2.175,2.6,39.608,1,2,NaN,NaN,0,1,0,0
NaN,NaN,5,148,1,13,0.75,1.7873,2.5167,2.6,6.3817,1,2,NaN,NaN,0,1,1,0
0.45703,0,5,148,1,13,0.8,1.875,2.5,2.4,296.42,1,1,-29.954,0.21582,0,0,1,0
NaN,NaN,5,148,1,13,0.925,1.8889,2.5,2.4,248.96,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,148,1,13,0.75,1.6162,2.5917,2.4,231.61,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,148,1,13,0.85,1.7369,2.5167,2.4,324.27,1,1,NaN,NaN,0,1,1,0
0.78613,1,5,148,1,13,0.55,1.9742,2.1333,2.6,9.5147,1,2,-51.241,0.21973,0,0,1,0
0.45605,0,5,148,1,13,1,1.5522,2.7833,2.6,326.03,1,1,-25.045,0.19727,0,0,1,0
0.46387,0,5,148,1,13,0.625,1.6578,2.4083,2.4,201.76,1,1,11.27,0.14062,0,0,1,0
NaN,NaN,5,148,1,13,0.55,1.7676,2.5083,2.4,345.83,1,1,NaN,NaN,0,0,0,0
NaN,NaN,5,148,1,13,0.9,1.9984,2.5833,2.6,112.28,1,2,NaN,NaN,0,0,0,0
0.36426,0,5,148,1,13,0.75,1.7701,2.5,2.4,230.09,1,1,-18.397,0.1875,0,0,1,0
0.56738,1,5,148,1,13,0.5,1.9957,2.2167,2.4,173.76,1,2,-45.637,0.26367,0,0,1,0
0.48633,1,5,148,1,13,0.8,1.5301,2.775,2.6,184.21,1,2,-58.175,0.21387,0,0,1,0
NaN,NaN,5,148,1,13,0.65,1.8584,2.6417,2.6,191.09,1,2,NaN,NaN,0,0,0,0
NaN,NaN,5,148,1,13,0.95,1.6352,2.7417,2.6,190.71,1,2,NaN,NaN,0,0,0,0
0.46484,0,5,148,1,13,0.525,1.7226,2.125,2.4,175.32,1,1,-53.771,0.22363,0,0,1,0
0.62402,1,5,148,1,13,0.525,1.8727,2.0583,2.6,134.35,1,2,-42.609,0.19043,0,0,1,0
0.41016,1,5,148,1,13,0.525,1.9315,2.0667,2.4,300.97,1,2,-50.516,0.17285,0,0,1,0
0.65723,1,5,148,1,13,0.75,1.8583,2.575,2.6,304.48,1,2,-14.163,0.21484,0,0,1,0
NaN,NaN,5,148,1,13,0.525,1.7167,2.3917,2.6,102.9,1,2,NaN,NaN,0,1,0,0
0.5332,1,5,148,1,13,0.95,1.9449,2.8833,2.4,233.89,1,2,-40.195,0.18457,0,0,1,0
NaN,NaN,5,148,1,13,0.725,1.7287,2.3917,2.4,169.7,1,2,NaN,NaN,1,0,1,0
0.40137,0,5,148,1,13,1,1.8345,2.525,2.6,163.76,1,1,-52.732,0.18262,0,0,1,0
NaN,NaN,5,148,1,13,0.55,1.7482,2.3917,2.4,119.67,1,1,NaN,NaN,0,0,0,0
NaN,NaN,5,148,1,13,0.775,1.8369,2.6583,2.4,193.18,1,1,NaN,NaN,0,1,1,0
NaN,NaN,5,148,1,13,0.575,1.8083,2.1417,2.6,314.34,1,1,NaN,NaN,1,1,1,0
0.39941,1,4,148,1,13,0.875,1.7105,2.5083,2.6,136.68,1,2,-75.847,0.20312,0,0,1,0
0.36426,1,4,148,1,13,0.9,1.5936,2.6,2.6,191.3,1,2,-34.755,0.1875,0,0,1,0
NaN,NaN,4,148,1,13,0.575,1.838,2.4667,2.6,181.11,1,2,NaN,NaN,0,1,0,0
NaN,NaN,4,148,1,13,0.55,1.9789,2.1167,2.6,314.03,1,2,NaN,NaN,1,0,0,0
0.59863,1,4,148,1,13,0.55,1.5334,2.2583,2.6,140.12,0,0,-4.9716,0.19434,0,0,1,0
0.58691,1,4,148,1,13,0.725,1.9818,2.425,2.4,308.81,0,0,-26.642,0.17578,0,0,1,0
NaN,NaN,4,148,1,13,0.725,1.5608,2.7083,2.6,218.48,1,2,NaN,NaN,0,1,1,0
NaN,NaN,4,148,1,13,0.575,1.9616,2.2667,2.4,22.366,1,1,NaN,NaN,0,0,0,0
